CRE 0,MITRE ATLAS|name,MITRE ATLAS|id,MITRE ATLAS|description,MITRE ATLAS|hyperlink
010-108|Obscuring confidence in AI output,Passive AI Output Obfuscation,AML.M0002,Decreasing the fidelity of model outputs provided to the end user can reduce an adversary's ability to extract information about the model and optimize attacks for the model.,https://atlas.mitre.org/techniques/AML.M0002
012-625|Indirect prompt injection,Indirect,AML.T0051.001,An adversary may inject prompts indirectly via separate data channel ingested by the LLM such as include text or multimedia pulled from databases or websites. These malicious prompts may be hidden or obfuscated from the user. This type of injection may be used by the adversary to gain a foothold in the system or to target an unwitting user of the system.,https://atlas.mitre.org/techniques/AML.T0051.001
020-540|Direct runtime model poisoning,AI Agent Context Poisoning,AML.T0080,Adversaries may attempt to manipulate the context used by an AI agent's large language model (LLM) to influence the responses it generates or actions it takes. This allows an adversary to persistently change the behavior of the target agent and further their goals. Context poisoning can be accomplished by prompting the an LLM to add instructions or preferences to memory (See [Memory](/techniques/AML.T0080.000)) or by simply prompting an LLM that uses prior messages in a thread as part of its context (See [Thread](/techniques/AML.T0080.001)).,https://atlas.mitre.org/techniques/AML.T0080
020-540|Direct runtime model poisoning,Thread,AML.T0080.001,"Adversaries may introduce malicious instructions into a chat thread of a large language model (LLM) to cause behavior changes which persist for the remainder of the thread. A chat thread may continue for an extended period over multiple sessions. The malicious instructions may be introduced via Direct or Indirect Prompt Injection. Direct Injection may occur in cases where the adversary has acquired a user's LLM API keys and can inject queries directly into any thread. As the token limits for LLMs rise, AI systems can make use of larger context windows which allow malicious instructions to persist longer in a thread. Thread Poisoning may affect multiple users if the LLM is being used in a service with shared threads. For example, if an agent is active in a Slack channel with multiple participants, a single malicious message from one user can influence the agent's behavior in future interactions with others.",https://atlas.mitre.org/techniques/AML.T0080.001
034-540|Model inversion / Membership inference,Infer Training Data Membership,AML.T0024.000,"Adversaries may infer the membership of a data sample or global characteristics of the data in its training set, which raises privacy concerns. Some strategies make use of a shadow model that could be obtained via [Train Proxy via Replication](/techniques/AML.T0005.001), others use statistics of model prediction scores. This can cause the victim model to leak private information, such as PII of those in the training set or other forms of protected IP.",https://atlas.mitre.org/techniques/AML.T0024.000
034-540|Model inversion / Membership inference,Invert AI Model,AML.T0024.001,"AI models' training data could be reconstructed by exploiting the confidence scores that are available via an inference API. By querying the inference API strategically, adversaries can back out potentially private information embedded within the training data. This could lead to privacy violations if the attacker can reconstruct the data of sensitive features used in the algorithm.",https://atlas.mitre.org/techniques/AML.T0024.001
041-188|Data quality control,Sanitize Training Data,AML.M0007,Detect and remove or remediate poisoned training data. Training data should be sanitized prior to model training and recurrently for an active learning model. Implement a filter to limit ingested training data. Establish a content policy that would remove unwanted content such as certain explicit or offensive language from being used.,https://atlas.mitre.org/techniques/AML.M0007
044-202|Data disclosure in model output,LLM Data Leakage,AML.T0057,"Adversaries may craft prompts that induce the LLM to leak sensitive information. This can include private user data or proprietary information. The leaked information may come from proprietary training data, data sources the LLM is connected to, or information from other users of the LLM.",https://atlas.mitre.org/techniques/AML.T0057
058-527|Secure name/address resolution service,Domains,AML.T0008.002,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free. Adversaries may use acquired domains for a variety of purposes (see [ATT&CK](https://attack.mitre.org/techniques/T1583/001/)). Large AI datasets are often distributed as a list of URLs to individual datapoints. Adversaries may acquire expired domains that are included in these datasets and replace individual datapoints with poisoned examples ([Publish Poisoned Datasets](/techniques/AML.T0019)).",https://atlas.mitre.org/techniques/AML.T0008.002
073-507|AI model behaviour integrity threats through inference,LLM Jailbreak,AML.T0054,"An adversary may target the inputs or the architecture of an LLM, placing it in a state where it will freely respond to user input, bypassing any controls, restrictions, or guardrails placed on the LLM. Once successfully jailbroken, the LLM can be used in unintended ways by the adversary. Jailbreaks are classified as either white-box or black-box depending on the level of model access they require. In white-box jailbreaks, the attacker directly exploits the model. Gradient and logit-based attacks use internal signals to select prompts that make harmful answers more likely while fine-tuning-based methods weaken safety through retraining ([Jailbreak Attacks and Defenses: A Survey]; [JailbreakZoo]). Additionally, many large language models encode refusal in a single linear signal in their internal layers; removing or suppressing this signal via an activation edit largely disables refusal while leaving normal skills mostly intact ([Refusal Direction]). Black-box jailbreaks, on the other hand, do not require direct model access, relying instead on clever prompting and context tricks. Examples include wrapping a harmful question inside a story, role-play, or code snippet so the model ""fills in"" the dangerous part as part of the scenario ([Jailbreak Attacks and Defenses: A Survey]) or hiding intent through ciphers, rare languages, and other encodings so the text looks harmless to filters but remains understandable to the model ([JailbreakZoo]; [Jailbreak Attacks and Defenses: A Survey]). Black-box jailbreaks can also take a multi-turn form where attackers engage in dialogue that begins harmless but escalates towards a forbidden goal, changing the conversation history through references and hints while never explicitly stating the malicious request ([Cresendo attacks], [Echo Chamber attack]). Jailbreak generation can be automated with fine-tuned models ([MASTERKEY]), multi-agent systems ([Jailbreak Attacks and Defenses: A Survey]), or evolutionary algorithms",https://atlas.mitre.org/techniques/AML.T0054
073-507|AI model behaviour integrity threats through inference,Discover LLM Hallucinations,AML.T0062,"Adversaries may prompt large language models and identify hallucinated entities. They may request software packages, commands, URLs, organization names, or e-mail addresses, and identify hallucinations with no connected real-world source. Discovered hallucinations provide the adversary with potential targets to [Publish Hallucinated Entities](/techniques/AML.T0060). Different LLMs have been shown to produce the same hallucinations, so the hallucinations exploited by an adversary may affect users of other LLMs.",https://atlas.mitre.org/techniques/AML.T0062
073-507|AI model behaviour integrity threats through inference,AI Agent Clickbait,AML.T0100,"Adversaries may craft deceptive web content designed to bait Computer-Using AI agents or AI web browsers into taking unintended actions, such as clicking buttons, copying code, or navigating to specific web pages. These attacks exploit the agent's interpretation of UI content, visual cues, or prompt-like language embedded in the site. When successful, they can lead the agent to inadvertently copy and execute malicious code on the user's operating system.",https://atlas.mitre.org/techniques/AML.T0100
106-447|Prompt input segregation,Extract LLM System Prompt,AML.T0056,Adversaries may attempt to extract a large language model's (LLM) system prompt. This can be done via prompt injection to induce the model to reveal its own system prompt or may be extracted from a configuration file. System prompts can be a portion of an AI provider's competitive advantage and are thus valuable intellectual property that may be targeted by adversaries.,https://atlas.mitre.org/techniques/AML.T0056
106-447|Prompt input segregation,LLM Prompt Crafting,AML.T0065,Adversaries may use their acquired knowledge of the target generative AI system to craft prompts that bypass its defenses and allow malicious instructions to be executed. The adversary may iterate on the prompt to ensure that it works as-intended consistently.,https://atlas.mitre.org/techniques/AML.T0065
106-447|Prompt input segregation,Special Character Sets,AML.T0069.000,"Adversaries may discover delimiters and special characters sets used by the large language model. For example, delimiters used in retrieval augmented generation applications to differentiate between context and user prompts. These can later be exploited to confuse or manipulate the large language model into misbehaving.",https://atlas.mitre.org/techniques/AML.T0069.000
130-171|Runtime model io integrity controls,LLM Trusted Output Components Manipulation,AML.T0067,"Adversaries may utilize prompts to a large language model (LLM) which manipulate various components of its response in order to make it appear trustworthy to the user. This helps the adversary continue to operate in the victim's environment and evade detection by the users it interacts with. The LLM may be instructed to tailor its language to appear more trustworthy to the user or attempt to manipulate the user to take certain actions. Other response components that could be manipulated include links, recommended follow-up actions, retrieved document metadata, and [Citations](/techniques/AML.T0067.000).",https://atlas.mitre.org/techniques/AML.T0067
141-385|Model exfiltration,Extract AI Model,AML.T0024.002,"Adversaries may extract a functional copy of a private model. By repeatedly querying the victim's [AI Model Inference API Access](/techniques/AML.T0040), the adversary can collect the target model's inferences into a dataset. The inferences are used as labels for training a separate model offline that will mimic the behavior and performance of the target model. Adversaries may extract the model to avoid paying per query in an artificial-intelligence-as-a-service (AIaaS) setting. Model extraction is used for [AI Intellectual Property Theft](/techniques/AML.T0048.004).",https://atlas.mitre.org/techniques/AML.T0024.002
141-385|Model exfiltration,Exfiltration via Cyber Means,AML.T0025,Adversaries may exfiltrate AI artifacts or other information relevant to their goals via traditional cyber means. See the ATT&CK [Exfiltration](https://attack.mitre.org/tactics/TA0010/) tactic for more information.,https://atlas.mitre.org/techniques/AML.T0025
141-385|Model exfiltration,AI Intellectual Property Theft,AML.T0048.004,Adversaries may exfiltrate AI artifacts to steal intellectual property and cause economic harm to the victim organization. Proprietary training data is costly to collect and annotate and may be a target for [Exfiltration](/tactics/AML.TA0010) and theft. AIaaS providers charge for use of their API. An adversary who has stolen a model via [Exfiltration](/tactics/AML.TA0010) or via [Extract AI Model](/techniques/AML.T0024.002) now has unlimited use of that service without paying the owner of the intellectual property.,https://atlas.mitre.org/techniques/AML.T0048.004
141-385|Model exfiltration,Exfiltration via AI Agent Tool Invocation,AML.T0086,"AI agent tools capable of performing write operations may be invoked to exfiltrate data to an adversary. Sensitive information can be encoded into the tool's input parameters and transmitted to an adversary-controlled location (such as an inbox, document, or server) as part of a seemingly legitimate action. Variants include sending emails, creating or modifying documents, updating CRM records, or even generating media such as images or videos. The invoked tool itself may be legitimate but invoked by an adversary via [LLM Prompt Injection](/techniques/AML.T0051), or the tool may be malicious (See [AI Agent Tool Poisoning](/techniques/AML.T0110). [AI Agent Tool Poisoning](/techniques/AML.T0110) can also be used manipulate the inputs and destination of a separate legitimate tool, invoked through normal usage by the victim.",https://atlas.mitre.org/techniques/AML.T0086
146-871|Ensemble AI models,Use Ensemble Methods,AML.M0006,Use an ensemble of models for inference to increase robustness to adversarial inputs. Some attacks may effectively evade one model or model family but be ineffective against others.,https://atlas.mitre.org/techniques/AML.M0006
157-430|Protect and clear cached sensitive data,Memory Hardening,AML.M0031,"Memory Hardening involves developing trust boundaries and secure processes for how an AI agent stores and accesses memory and context. This may be implemented using a combination of strategies including restricting an agent's ability to store memories by requiring external authentication and validation for memory updates, performing semantic integrity checks on retrieved memories before agents execute actions, and implementing controls for monitoring of memory and remediation processes for poisoned memory.",https://atlas.mitre.org/techniques/AML.M0031
173-554|Augmentation data leak,Gather RAG-Indexed Targets,AML.T0064,"Adversaries may identify data sources used in retrieval augmented generation (RAG) systems for targeting purposes. By pinpointing these sources, attackers can focus on poisoning or otherwise manipulating the external data repositories the AI relies on. RAG-indexed data may be identified in public documentation about the system, or by interacting with the system directly and observing any indications of or references to external data sources.",https://atlas.mitre.org/techniques/AML.T0064
173-554|Augmentation data leak,RAG Databases,AML.T0085.000,Adversaries may prompt the AI service to retrieve data from a RAG database. This can include the majority of an organization's internal documents.,https://atlas.mitre.org/techniques/AML.T0085.000
187-083|Rate limiting against AI input attacks,Restrict Number of AI Model Queries,AML.M0004,Limit the total number and rate of queries a user can perform.,https://atlas.mitre.org/techniques/AML.M0004
202-604|Human AI oversight,Human In-the-Loop for AI Agent Actions,AML.M0029,"Systems should require the user or another human stakeholder to approve AI agent actions before the agent takes them. The human approver may be technical staff or business unit SMEs depending on the use case. Separate tools, such as dedicated audit agents, may assist human approval, but final adjudication should be conducted by a human decision-maker. The security benefits from Human In-the-Loop policies may be at odds with operational overhead costs of additional approvals. To ease this, Human In-the-Loop policies should follow the degree of consequence of the task at hand. Minor, repetitive tasks performed by agents accessing basic tools may only require minimal human oversight, while agents employed in systems with significant consequences may necessitate approval from multiple stakeholders diversified across multiple organizations.",https://atlas.mitre.org/techniques/AML.M0029
217-163|Augmentation data manipulation,Retrieval Content Crafting,AML.T0066,"Adversaries may write content designed to be retrieved by user queries and influence a user of the system in some way. This abuses the trust the user has in the system. The crafted content can be combined with a prompt injection. It can also stand alone in a separate document or email. The adversary must get the crafted content into the victim\u0027s database, such as a vector database used in a retrieval augmented generation (RAG) system. This may be accomplished via cyber access, or by abusing the ingestion mechanisms common in RAG systems (see [RAG Poisoning](/techniques/AML.T0070)). Large language models may be used as an assistant to aid an adversary in crafting content.",https://atlas.mitre.org/techniques/AML.T0066
217-163|Augmentation data manipulation,False RAG Entry Injection,AML.T0071,"Adversaries may introduce false entries into a victim's retrieval augmented generation (RAG) database. Content designed to be interpreted as a document by the large language model (LLM) used in the RAG system is included in a data source being ingested into the RAG database. When RAG entry including the false document is retrieved, the LLM is tricked into treating part of the retrieved content as a false RAG result. By including a false RAG document inside of a regular RAG entry, it bypasses data monitoring tools. It also prevents the document from being deleted directly. The adversary may use discovered system keywords to learn how to instruct a particular LLM to treat content as a RAG entry. They may be able to manipulate the injected entry's metadata including document title, author, and creation date.",https://atlas.mitre.org/techniques/AML.T0071
217-163|Augmentation data manipulation,Manipulate User LLM Chat History,AML.T0092,"Adversaries may manipulate a user's large language model (LLM) chat history to cover the tracks of their malicious behavior. They may hide persistent changes they have made to the LLM's behavior, or obscure their attempts at discovering private information about the user. To do so, adversaries may delete or edit existing messages or create new threads as part of their coverup. This is feasible if the adversary has the victim's authentication tokens for the backend LLM service or if they have direct access to the victim's chat interface. Chat interfaces (especially desktop interfaces) often do not show the injected prompt for any ongoing chat, as they update chat history only once when initially opening it. This can help the adversary's manipulations go unnoticed by the victim.",https://atlas.mitre.org/techniques/AML.T0092
220-442|Model action privilege minimization,Privileged AI Agent Permissions Configuration,AML.M0026,"AI agents may be granted elevated privileges above that of a normal user to enable desired workflows. When deploying a privileged AI agent, or an agent that interacts with multiple users, it is important to implement robust policies and controls on permissions of the privileged agent. These controls include Role-Based Access Controls (RBAC), Attribute-Based Access Controls (ABAC), and the principle of least privilege so that the agent is only granted the necessary permissions to access tools and resources required to accomplish its designated task(s).",https://atlas.mitre.org/techniques/AML.M0026
220-442|Model action privilege minimization,Single-User AI Agent Permissions Configuration,AML.M0027,"When deploying an AI agent that acts as a representative of a user and performs actions on their behalf, it is important to implement robust policies and controls on permissions and lifecycle management of the agent. Lifecycle management involves establishing identity, protocols for access management, and decommissioning of the agent when its role is no longer needed. Controls should also include the principle of least privilege and delegated access from the user account. When acting as a representative of a user, the AI agent should not be granted permissions that the user would not be granted within the system or organization.",https://atlas.mitre.org/techniques/AML.M0027
220-442|Model action privilege minimization,AI Agent Tools Permissions Configuration,AML.M0028,"When deploying tools that will be shared across multiple AI agents, it is important to implement robust policies and controls on permissions for the tools. These controls include applying the principle of least privilege along with delegated access, where the tools receive the permissions, identities, and restrictions of the AI agent calling them. These configurations may be implemented either in MCP servers which connect the agents to the tools calling them or, in more complex cases, directly in the configuration files of the tool.",https://atlas.mitre.org/techniques/AML.M0028
220-442|Model action privilege minimization,Restrict AI Agent Tool Invocation on Untrusted Data,AML.M0030,"Untrusted data can contain prompt injections that invoke an AI agent's tools, potentially causing confidentiality, integrity or availability violations. It is recommended that tool invocation be restricted or limited when untrusted data enters the LLM's context. The degree to which tool invocation is restricted may depend on the potential consequences of the action. Consider blocking the automatic invocation of tools or requiring user confirmation once untrusted data enters the LLM's context. For high consequence actions, consider always requiring user confirmation.",https://atlas.mitre.org/techniques/AML.M0030
220-442|Model action privilege minimization,AI Service Proxies,AML.T0008.005,"Adversaries may utilize commercial proxy services that resell access to AI services such as frontier model APIs. This infrastructure can be used to conduct large-scale campaigns to perform [Exfiltration via AI Inference API](/techniques/AML.T0024) via distillation. Adversaries may also use this infrastructure to [Generate Malicious Commands](/techniques/AML.T0102) for offensive cyber operations, or to generate content for [Spearphishing via Social Engineering LLM](/techniques/AML.T0052.000). Commercial AI service proxies distribute traffic from different accounts and various cloud platforms. The mix of traffic can make malicious activity difficult to detect and block [\[1\]][1]. Malicious actors conduct [LLM Jacking](https://atlas.mitre.org/studies/AML.CS0030) attacks to gain access to victim accounts which they resell access to in their proxy services [\[2\]][2]. [1]: https://www.anthropic.com/news/detecting-and-preventing-distillation-attacks [2]: https://sysdig.com/blog/llmjacking-stolen-cloud-credentials-used-in-new-ai-attack/",https://atlas.mitre.org/techniques/AML.T0008.005
220-442|Model action privilege minimization,AI Agent Tool Invocation,AML.T0053,"Adversaries may use their access to an AI agent to invoke tools the agent has access to. LLMs are often connected to other services or resources via tools to increase their capabilities. Tools may include integrations with other applications, access to public or private data sources, and the ability to execute code. This may allow adversaries to execute API calls to integrated applications or services, providing the adversary with increased privileges on the system. Adversaries may take advantage of connected data sources to retrieve sensitive information. They may also use an LLM integrated with a command or script interpreter to execute arbitrary instructions. AI agents may be configured to have access to tools that are not directly accessible by users. Adversaries may abuse this to gain access to tools they otherwise wouldn't be able to use.",https://atlas.mitre.org/techniques/AML.T0053
220-442|Model action privilege minimization,AI Agent Tools,AML.T0085.001,Adversaries may prompt the AI service to invoke various tools the agent has access to. Tools may retrieve data from different APIs or services in an organization.,https://atlas.mitre.org/techniques/AML.T0085.001
220-442|Model action privilege minimization,Data Destruction via AI Agent Tool Invocation,AML.T0101,"Adversaries may invoke an AI agent's tool capable of performing mutative operations to perform Data Destruction. Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources.",https://atlas.mitre.org/techniques/AML.T0101
220-442|Model action privilege minimization,Deploy AI Agent,AML.T0103,"Adversaries may launch AI agents in the victim's environment to execute actions on their behalf. AI agents may have access to a wide range of tools and data sources, as well as permissions to access and interact with other services and systems in the victim's environment. The adversary may leverage these capabilities to carry out their operations. Adversaries may configure the AI agent by providing an initial system prompt and granting access to tools, effectively defining their goals for the agent to achieve. They may deploy the agent with excessive trust permissions and disable any user interactions to ensure the agent's actions aren't blocked. Launching an AI agent may provide for some autonomous behavior, allowing for the agent to make decisions and determine how to achieve the adversary's goals. This also represents a loss of control for the adversary.",https://atlas.mitre.org/techniques/AML.T0103
220-442|Model action privilege minimization,AI Agent,AML.T0108,"Adversaries may abuse AI agents present on the victim's system for command and control. AI agents are often granted access to tools that can execute shell commands, reach out to the internet, and interact with other services in the victim's environment, making them capable C2 agents. The adversary may modify the behavior of an AI agent for C2 via [LLM Prompt Injection](/techniques/AML.T0051) and rely on the agent's ability to invoke tools to retrieve and execute the adversary's commands. They may maintain persistent control of an agent via [Modify AI Agent Configuration](/techniques/AML.T0081) or [AI Agent Context Poisoning](/techniques/AML.T0080). They may instruct the agent to not report their actions to the user in an attempt to remain covert.",https://atlas.mitre.org/techniques/AML.T0108
220-442|Model action privilege minimization,Local AI Agent,AML.T0112.000,"Adversaries may achieve full system compromise by abusing AI agents running locally on a host, such as computer-use agents or AI-driven browsers. These agents are designed to autonomously interact with the operating system, applications, and external services, often with broad permissions to execute commands, access files, manage credentials, and control user workflows. If an adversary is able to take control of an AI agent's behavior, they effectively gain the same level of access as the agent. This can result in complete control over the machine, including executing arbitrary code, accessing or exfiltrating sensitive data, modifying system configurations, and establishing persistence.",https://atlas.mitre.org/techniques/AML.T0112.000
230-318|AI resource exhaustion attack,Denial of AI Service,AML.T0029,"Adversaries may target AI-enabled systems with a flood of requests for the purpose of degrading or shutting down the service. Since many AI systems require significant amounts of specialized compute, they are often expensive bottlenecks that can become overloaded. Adversaries can intentionally craft inputs that require heavy amounts of useless compute from the AI system.",https://atlas.mitre.org/techniques/AML.T0029
234-282|Physical & environment protection,Physical Countermeasures,AML.T0008.003,"Adversaries may acquire or manufacture physical countermeasures to aid or support their attack. These components may be used to disrupt or degrade the model, such as adversarial patterns printed on stickers or T-shirts, disguises, or decoys. They may also be used to disrupt or degrade the sensors used in capturing data, such as laser pointers, light bulbs, or other tools.",https://atlas.mitre.org/techniques/AML.T0008.003
234-282|Physical & environment protection,Physical Environment Access,AML.T0041,"In addition to the attacks that take place purely in the digital domain, adversaries may also exploit the physical environment for their attacks. If the model is interacting with data collected from the real world in some way, the adversary can influence the model through access to wherever the data is being collected. By modifying the data in the collection process, the adversary can perform modified versions of attacks designed for digital access.",https://atlas.mitre.org/techniques/AML.T0041
